calw221,score
6479,2
6487,1.5
6492,1.67
6493,3.49
6497,1.67
6499,2.83
6503,1.99
6506,3.17
6507,2.99
6509,2.99
6510,2
6512,3
6514,3.49
6515,2.17
6516,3.5
6517,1
6518,1.99
6520,2.84
6521,2.99
6522,3
6523,1.67
6525,2.67
6526,1.99
6528,2.83
6529,3
6531,3.49
6532,1.99
6534,3.01
6536,2.84
6537,3.34
6538,2.5
6540,3.17
6544,3.49
6545,3.33
6546,2.17
6547,2.84
6548,2.99
6549,3.17
6550,1.67
6551,1.99
6552,1.99
6553,2.17
6554,1.99
6555,2.83
6556,2.16
6558,1.33
6560,1.67
6561,3
6562,3.49
6563,3.5
6564,2.51
6565,1.99
6566,3.01
6567,2.51
6568,3.16
6569,2.16
6571,1.83
6572,1.84
6573,2.99
6574,2.99
6575,1.51
6576,3.49
6578,2.5
6580,1.67
6581,1.83
6582,3.33
6583,2.16
6584,2.66
6585,1.84
6586,3
6588,3.33
6589,1.17
6591,2.16
6592,2.5
6593,2.83
6594,2.99
6596,3
6597,2
6598,1.5
6599,1.34
6600,3.49
6601,1.5
6602,1.67
6603,2.83
6604,1.83
6605,1.67
6606,1.17
6607,1.83
6608,1.84
6609,1.34
6612,1.67
6613,1.67
6615,2
6616,1.34
6617,2.99
6618,3.16
6619,2.16
6621,3.16
6623,1.83
6624,1.83
6625,1.5
6628,1.34
6629,1.17
6630,1.34
6631,1.67
6632,1.17
6633,3
6634,1.67
6635,1.51
6637,1.51
6638,1.67
6639,2.51
6642,1.51
6643,2
6644,2.33
6645,1.51
6648,2.51
6649,3.01
6652,3.01
6653,3.01
6658,3.83
6659,1.51
6660,3.34
6661,3.01
6662,2.51
6666,3.01
6668,3.01
6676,3.49
